root@comp3134-intro-to-cyber-security:~# tcpdump -n -i eth0

03:11:27.925350 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1780188:1780352, ack 973, win 501, length 164
03:11:27.925400 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1780352:1780516, ack 973, win 501, length 164
03:11:27.925448 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1780516:1780680, ack 973, win 501, length 164
03:11:27.925500 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1780680:1780836, ack 973, win 501, length 156
03:11:27.925535 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1780836:1781036, ack 973, win 501, length 200
03:11:27.925601 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1781036:1781200, ack 973, win 501, length 164
03:11:27.925650 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1781200:1781364, ack 973, win 501, length 164
03:11:27.925699 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1781364:1781528, ack 973, win 501, length 164
03:11:27.925747 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1781528:1781692, ack 973, win 501, length 164
03:11:27.925795 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1781692:1781856, ack 973, win 501, length 164
03:11:27.925843 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1781856:1782020, ack 973, win 501, length 164
03:11:27.925892 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1782020:1782184, ack 973, win 501, length 164
03:11:27.925944 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1782184:1782340, ack 973, win 501, length 156
03:11:27.925979 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1782340:1782540, ack 973, win 501, length 200
03:11:27.926031 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1782540:1782704, ack 973, win 501, length 164
03:11:27.926079 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1782704:1782868, ack 973, win 501, length 164
03:11:27.926129 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1782868:1783032, ack 973, win 501, length 164
03:11:27.926188 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1783032:1783196, ack 973, win 501, length 164
03:11:27.926240 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1783196:1783360, ack 973, win 501, length 164
03:11:27.926288 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1783360:1783524, ack 973, win 501, length 164
03:11:27.926336 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1783524:1783688, ack 973, win 501, length 164
03:11:27.926387 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1783688:1783844, ack 973, win 501, length 156
03:11:27.926422 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1783844:1784044, ack 973, win 501, length 200
03:11:27.926476 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1784044:1784208, ack 973, win 501, length 164
03:11:27.926569 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1784208:1784372, ack 973, win 501, length 164
03:11:27.926621 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1784372:1784536, ack 973, win 501, length 164
03:11:27.926672 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1784536:1784700, ack 973, win 501, length 164
03:11:27.926720 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1784700:1784864, ack 973, win 501, length 164
03:11:27.926770 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1784864:1785028, ack 973, win 501, length 164
03:11:27.926824 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1785028:1785184, ack 973, win 501, length 156
03:11:27.926858 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1785184:1785384, ack 973, win 501, length 200
03:11:27.926999 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1785384:1785548, ack 973, win 501, length 164
03:11:27.927050 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1785548:1785712, ack 973, win 501, length 164
03:11:27.927098 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1785712:1785876, ack 973, win 501, length 164
03:11:27.927147 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1785876:1786040, ack 973, win 501, length 164
03:11:27.927167 IP 184.148.29.143.59515 > 143.198.44.126.22: Flags [.], ack 1770800, win 1026, length 0
03:11:27.927229 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1786040:1786308, ack 973, win 501, length 268
03:11:27.927278 IP 143.198.44.126.22 > 184.148.29.143.59515: Flags [P.], seq 1786308:1786472, ack 973, win 501, length 164
