root@comp3134-intro-to-cyber-security:~# tcpdump -i eth0

01:10:04.195591 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2520596:2520816, ack 1153, win 501, length 220
01:10:04.195608 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 2500132, win 879, length 0
01:10:04.195608 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 2501232, win 875, length 0
01:10:04.195684 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2520816:2521364, ack 1153, win 501, length 548
01:10:04.195739 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2521364:2521584, ack 1153, win 501, length 220
01:10:04.195788 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2521584:2521804, ack 1153, win 501, length 220
01:10:04.195837 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2521804:2522024, ack 1153, win 501, length 220
01:10:04.195896 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2522024:2522244, ack 1153, win 501, length 220
01:10:04.195965 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2522244:2522464, ack 1153, win 501, length 220
01:10:04.196027 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2522464:2522684, ack 1153, win 501, length 220
01:10:04.196080 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2522684:2522904, ack 1153, win 501, length 220
01:10:04.196131 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2522904:2523124, ack 1153, win 501, length 220
01:10:04.196191 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2523124:2523344, ack 1153, win 501, length 220
01:10:04.196244 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2523344:2523564, ack 1153, win 501, length 220
01:10:04.196369 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2523564:2523784, ack 1153, win 501, length 220
01:10:04.196430 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2523784:2524004, ack 1153, win 501, length 220
01:10:04.196511 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2524004:2524224, ack 1153, win 501, length 220
01:10:04.196562 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2524224:2524444, ack 1153, win 501, length 220
01:10:04.196625 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2524444:2524664, ack 1153, win 501, length 220
01:10:04.196680 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2524664:2524884, ack 1153, win 501, length 220
01:10:04.196728 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2524884:2525104, ack 1153, win 501, length 220
01:10:04.196776 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2525104:2525324, ack 1153, win 501, length 220
01:10:04.196869 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2525324:2525544, ack 1153, win 501, length 220
01:10:04.196929 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2525544:2525764, ack 1153, win 501, length 220
01:10:04.196978 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2525764:2525984, ack 1153, win 501, length 220
01:10:04.197033 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2525984:2526204, ack 1153, win 501, length 220
01:10:04.197088 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2526204:2526424, ack 1153, win 501, length 220
01:10:04.197147 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2526424:2526644, ack 1153, win 501, length 220
01:10:04.197214 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2526644:2526864, ack 1153, win 501, length 220
01:10:04.197263 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2526864:2527084, ack 1153, win 501, length 220
01:10:04.197311 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2527084:2527304, ack 1153, win 501, length 220
01:10:04.197360 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2527304:2527524, ack 1153, win 501, length 220
01:10:04.197412 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2527524:2527744, ack 1153, win 501, length 220
01:10:04.197460 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2527744:2527964, ack 1153, win 501, length 220
01:10:04.197514 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2527964:2528184, ack 1153, win 501, length 220
01:10:04.197563 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2528184:2528404, ack 1153, win 501, length 220
01:10:04.197612 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2528404:2528624, ack 1153, win 501, length 220
01:10:04.197628 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 2509488, win 843, length 0
01:10:04.197701 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2528624:2529012, ack 1153, win 501, length 388
01:10:04.197754 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2529012:2529232, ack 1153, win 501, length 220
01:10:04.197811 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2529232:2529452, ack 1153, win 501, length 220
01:10:04.197866 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2529452:2529672, ack 1153, win 501, length 220
01:10:04.197922 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2529672:2529892, ack 1153, win 501, length 220
01:10:04.197977 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2529892:2530112, ack 1153, win 501, length 220
01:10:04.198034 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2530112:2530332, ack 1153, win 501, length 220
01:10:04.198089 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2530332:2530552, ack 1153, win 501, length 220
01:10:04.198143 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2530552:2530772, ack 1153, win 501, length 220
