root@comp3134-intro-to-cyber-security:~# tcpdump -i eth0 tcp

 220
03:12:38.571636 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1998544:1998764, ack 1081, win 501, length 220
03:12:38.571688 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1998764:1998984, ack 1081, win 501, length 220
03:12:38.571736 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1998984:1999204, ack 1081, win 501, length 220
03:12:38.571783 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1999204:1999424, ack 1081, win 501, length 220
03:12:38.571836 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1999424:1999644, ack 1081, win 501, length 220
03:12:38.571885 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1999644:1999864, ack 1081, win 501, length 220
03:12:38.571936 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1999864:2000084, ack 1081, win 501, length 220
03:12:38.572115 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2000084:2000304, ack 1081, win 501, length 220
03:12:38.572178 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2000304:2000532, ack 1081, win 501, length 228
03:12:38.572230 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2000532:2000752, ack 1081, win 501, length 220
03:12:38.572312 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2000752:2000972, ack 1081, win 501, length 220
03:12:38.572368 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2000972:2001192, ack 1081, win 501, length 220
03:12:38.572423 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2001192:2001412, ack 1081, win 501, length 220
03:12:38.572471 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2001412:2001632, ack 1081, win 501, length 220
03:12:38.572529 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2001632:2001852, ack 1081, win 501, length 220
03:12:38.572582 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2001852:2002072, ack 1081, win 501, length 220
03:12:38.572630 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2002072:2002292, ack 1081, win 501, length 220
03:12:38.572678 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2002292:2002512, ack 1081, win 501, length 220
03:12:38.572743 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2002512:2002732, ack 1081, win 501, length 220
03:12:38.572817 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2002732:2002952, ack 1081, win 501, length 220
03:12:38.572872 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2002952:2003172, ack 1081, win 501, length 220
03:12:38.572927 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2003172:2003392, ack 1081, win 501, length 220
03:12:38.572981 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2003392:2003612, ack 1081, win 501, length 220
03:12:38.573035 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2003612:2003832, ack 1081, win 501, length 220
03:12:38.573083 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2003832:2004052, ack 1081, win 501, length 220
03:12:38.573132 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2004052:2004272, ack 1081, win 501, length 220
03:12:38.573180 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2004272:2004492, ack 1081, win 501, length 220
03:12:38.573227 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2004492:2004712, ack 1081, win 501, length 220
03:12:38.573282 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2004712:2004932, ack 1081, win 501, length 220
03:12:38.573336 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2004932:2005152, ack 1081, win 501, length 220
03:12:38.573412 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 1987644, win 1026, length 0
03:12:38.573412 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 1989624, win 1026, length 0
03:12:38.573412 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515 > comp3134-intro-to-cyber-security.ssh: Flags [P.], seq 1081:1117, ack 1989624, win 1026, length 36
03:12:38.573431 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2005152:2005372, ack 1081, win 501, length 220
03:12:38.573590 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2005372:2006104, ack 1117, win 501, length 732
03:12:38.573655 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2006104:2006324, ack 1117, win 501, length 220
03:12:38.573710 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2006324:2006544, ack 1117, win 501, length 220
03:12:38.573767 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2006544:2006764, ack 1117, win 501, length 220
03:12:38.573822 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2006764:2006984, ack 1117, win 501, length 220
